Filename,Varint SKU or ID,Data type,Link to all variants,External URL (if any),Custom Product,< DO NOT delete this header row
accountingGrad.zip,1,sku,yes,,no,
anthropologyGrad.zip,2,sku,yes,,no,
artGrad.zip,3,sku,yes,,no,
biologyGrad.zip,4,sku,yes,,no,
biologyGrad_B.zip,5,sku,yes,,no,
chemistryGrad.zip,7,sku,yes,,no,
civil-engineeringGrad.zip,8,sku,yes,,no,
early-childhood-educationGrad.zip,9,sku,yes,,no,
electrical-engineeringGrad.zip,10,sku,yes,,no,
electrical-engineeringGrad_B.zip,11,sku,yes,,no,
financeGrad.zip,12,sku,yes,,no,
historyGrad.zip,13,sku,yes,,no,
linguisticsGrad.zip,14,sku,yes,,no,
physicsGrad.zip,15,sku,yes,,no,
psychologyGrad.zip,16,sku,yes,,no,
spanishGrad.zip,17,sku,yes,,no,
spanishGrad_B.zip,18,sku,yes,,no,
statisticsGrad.zip,19,sku,yes,,no,
data-scienceGrad.zip,20,sku,yes,,no,
data-scienceGrad_B.zip,21,sku,yes,,no,
blank.zip,999,sku,yes,,yes,
README-service.zip,1000,sku,yes,,yes,
README-service.zip,1001,sku,yes,,yes,
README-service.zip,1002,sku,yes,,yes,
README-service.zip,1003,sku,yes,,yes,
README-service.zip,1004,sku,yes,,yes,