Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Software features (product.metafields.shopify.software-features),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
accounting-portfolio-website,Accounting Portfolio Website,,Irene's Webworks,Software > Digital Goods & Currency,Website,,TRUE,Title,Default Title,,,,,,,,1,0,,1,deny,manual,19,,FALSE,TRUE,,,,,,,1,Portfolio Website,FALSE,,"Psychology Portfolio Website – a polished, customizable digital resume and portfolio sample website/template designed specifically for psychology majors and recent graduates, helping you showcase your skills, experience, and projects online so you can stand out for internships, grad school applications, and entry‑level roles.",html-website,,lb,,,active
anthropology-portfolio-website,Anthropology Portfolio Website,,Irene's Webworks,Software > Digital Goods & Currency,Website,,TRUE,Title,Default Title,,,,,,,,2,0,,1,deny,manual,19,,FALSE,TRUE,,,,,,,1,Portfolio Website,FALSE,,"Psychology Portfolio Website – a polished, customizable digital resume and portfolio sample website/template designed specifically for psychology majors and recent graduates, helping you showcase your skills, experience, and projects online so you can stand out for internships, grad school applications, and entry‑level roles.",html-website,,lb,,,active
art-portfolio-website,Art Portfolio Website,,Irene's Webworks,Software > Digital Goods & Currency,Website,,TRUE,Title,Default Title,,,,,,,,3,0,,1,deny,manual,19,,FALSE,TRUE,,,,,,,1,Portfolio Website,FALSE,,"Psychology Portfolio Website – a polished, customizable digital resume and portfolio sample website/template designed specifically for psychology majors and recent graduates, helping you showcase your skills, experience, and projects online so you can stand out for internships, grad school applications, and entry‑level roles.",html-website,,lb,,,active
biology-portfolio-website,Biology Portfolio Website,,Irene's Webworks,Software > Digital Goods & Currency,Website,,TRUE,Title,Default Title,,,,,,,,4,0,,1,deny,manual,19,,FALSE,TRUE,,,,,,,1,Portfolio Website,FALSE,,"Psychology Portfolio Website – a polished, customizable digital resume and portfolio sample website/template designed specifically for psychology majors and recent graduates, helping you showcase your skills, experience, and projects online so you can stand out for internships, grad school applications, and entry‑level roles.",html-website,,lb,,,active
biology-b-portfolio-website,Biology Portfolio Website,,Irene's Webworks,Software > Digital Goods & Currency,Website,,TRUE,Title,Default Title,,,,,,,,5,0,,1,deny,manual,19,,FALSE,TRUE,,,,,,,1,Portfolio Website,FALSE,,"Psychology Portfolio Website – a polished, customizable digital resume and portfolio sample website/template designed specifically for psychology majors and recent graduates, helping you showcase your skills, experience, and projects online so you can stand out for internships, grad school applications, and entry‑level roles.",html-website,,lb,,,active
chemistry-portfolio-website,Chemistry Portfolio Website,,Irene's Webworks,Software > Digital Goods & Currency,Website,,TRUE,Title,Default Title,,,,,,,,7,0,,1,deny,manual,19,,FALSE,TRUE,,,,,,,1,Portfolio Website,FALSE,,"Psychology Portfolio Website – a polished, customizable digital resume and portfolio sample website/template designed specifically for psychology majors and recent graduates, helping you showcase your skills, experience, and projects online so you can stand out for internships, grad school applications, and entry‑level roles.",html-website,,lb,,,active
civil-engineering-portfolio-website,Civil Engineering Portfolio Website,,Irene's Webworks,Software > Digital Goods & Currency,Website,,TRUE,Title,Default Title,,,,,,,,8,0,,1,deny,manual,19,,FALSE,TRUE,,,,,,,1,Portfolio Website,FALSE,,"Psychology Portfolio Website – a polished, customizable digital resume and portfolio sample website/template designed specifically for psychology majors and recent graduates, helping you showcase your skills, experience, and projects online so you can stand out for internships, grad school applications, and entry‑level roles.",html-website,,lb,,,active
data-science-portfolio-website,Data Science Portfolio Website,,Irene's Webworks,Software > Digital Goods & Currency,Website,,TRUE,Title,Default Title,,,,,,,,,,,1,deny,manual,19,,FALSE,TRUE,,,,,,,1,Portfolio Website,FALSE,,"Psychology Portfolio Website – a polished, customizable digital resume and portfolio sample website/template designed specifically for psychology majors and recent graduates, helping you showcase your skills, experience, and projects online so you can stand out for internships, grad school applications, and entry‑level roles.",html-website,,lb,,,active
data-science-b-portfolio-website,Data Science Portfolio Website,,Irene's Webworks,Software > Digital Goods & Currency,Website,,TRUE,Title,Default Title,,,,,,,,,,,1,deny,manual,19,,FALSE,TRUE,,,,,,,1,Portfolio Website,FALSE,,"Psychology Portfolio Website – a polished, customizable digital resume and portfolio sample website/template designed specifically for psychology majors and recent graduates, helping you showcase your skills, experience, and projects online so you can stand out for internships, grad school applications, and entry‑level roles.",html-website,,lb,,,active
finance-portfolio-website,Finance Portfolio Website,,Irene's Webworks,Software > Digital Goods & Currency,Website,,TRUE,Title,Default Title,,,,,,,,12,0,,1,deny,manual,19,,FALSE,TRUE,,,,,,,1,Portfolio Website,FALSE,,"Psychology Portfolio Website – a polished, customizable digital resume and portfolio sample website/template designed specifically for psychology majors and recent graduates, helping you showcase your skills, experience, and projects online so you can stand out for internships, grad school applications, and entry‑level roles.",html-website,,lb,,,active
history-portfolio-website,History Portfolio Website,,Irene's Webworks,Software > Digital Goods & Currency,Website,,TRUE,Title,Default Title,,,,,,,,13,0,,1,deny,manual,19,,FALSE,TRUE,,,,,,,1,Portfolio Website,FALSE,,"Psychology Portfolio Website – a polished, customizable digital resume and portfolio sample website/template designed specifically for psychology majors and recent graduates, helping you showcase your skills, experience, and projects online so you can stand out for internships, grad school applications, and entry‑level roles.",html-website,,lb,,,active
linguistics-portfolio-website,Linguistics Portfolio Website,,Irene's Webworks,Software > Digital Goods & Currency,Website,,TRUE,Title,Default Title,,,,,,,,14,0,,1,deny,manual,19,,FALSE,TRUE,,,,,,,1,Portfolio Website,FALSE,,"Psychology Portfolio Website – a polished, customizable digital resume and portfolio sample website/template designed specifically for psychology majors and recent graduates, helping you showcase your skills, experience, and projects online so you can stand out for internships, grad school applications, and entry‑level roles.",html-website,,lb,,,active
physics-portfolio-website,Physics Portfolio Website,,Irene's Webworks,Software > Digital Goods & Currency,Website,,TRUE,Title,Default Title,,,,,,,,15,0,,1,deny,manual,19,,FALSE,TRUE,,,,,,,1,Portfolio Website,FALSE,,"Psychology Portfolio Website – a polished, customizable digital resume and portfolio sample website/template designed specifically for psychology majors and recent graduates, helping you showcase your skills, experience, and projects online so you can stand out for internships, grad school applications, and entry‑level roles.",html-website,,lb,,,active
psychology-portfolio-website,Psychology Portfolio Website,"<p data-pm-slice=""1 1 []"">Standout psychology portfolio—clear, credible, and instantly professional.</p>
<p>Your clinical experience, research projects, and psychological insights deserve more than a traditional resume that lists courses and GPAs. This professionally designed portfolio website showcases your case studies, research findings, therapeutic approaches, and field placements in a format that demonstrates your understanding of human behavior and mental health. Present your honors thesis with compelling data visualizations, highlight your volunteer work at counseling centers, and prove your ability to apply psychological theory to real-world situations. Perfect for graduates pursuing careers in clinical psychology, counseling, social work, research, human resources, or graduate programs in mental health fields. With sections for research highlights, clinical experience, theoretical orientations, and professional development, you'll stand out to employers and admissions committees looking for candidates who can translate psychological knowledge into meaningful impact. Build a portfolio that proves you don't just understand psychology—you apply it to help people and advance the field.</p>
<p>Crafted for students, clinicians, and researchers, this template sharpens your story fast: licensure and hours, focus areas, publications, and projects—organized in clean blocks for effortless reading. Mobile‑ready, fast, and easy to update, with contact and inquiry built in. Includes a <strong>FREE</strong> guide to editors and hosting; optional done‑for‑you polish available.</p>",Irene's Webworks,Software > Digital Goods & Currency,Website,,TRUE,Title,Default Title,,,,,,,,16,0,,1,deny,manual,19,,FALSE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0778/9310/7735/files/psychologyGrad.png?v=1764993803,1,Portfolio Website,FALSE,Portfolio Website,"Psychology Portfolio Website – a polished, customizable digital resume and portfolio sample website/template designed specifically for psychology majors and recent graduates, helping you showcase your skills, experience, and projects online so you can stand out for internships, grad school applications, and entry‑level roles.",html-website,,lb,,,active
spanish-portfolio-website,Spanish Portfolio Website,,Irene's Webworks,Software > Digital Goods & Currency,Website,,TRUE,Title,Default Title,,,,,,,,17,0,,1,deny,manual,19,,FALSE,TRUE,,,,,,,1,Portfolio Website,FALSE,,"Psychology Portfolio Website – a polished, customizable digital resume and portfolio sample website/template designed specifically for psychology majors and recent graduates, helping you showcase your skills, experience, and projects online so you can stand out for internships, grad school applications, and entry‑level roles.",html-website,,lb,,,active
spanish-b-portfolio-website,Spanish Portfolio Website,,Irene's Webworks,Software > Digital Goods & Currency,Website,,TRUE,Title,Default Title,,,,,,,,18,0,,1,deny,manual,19,,FALSE,TRUE,,,,,,,1,Portfolio Website,FALSE,,"Psychology Portfolio Website – a polished, customizable digital resume and portfolio sample website/template designed specifically for psychology majors and recent graduates, helping you showcase your skills, experience, and projects online so you can stand out for internships, grad school applications, and entry‑level roles.",html-website,,lb,,,active
statistics-portfolio-website,Statistics Portfolio Website,,Irene's Webworks,Software > Digital Goods & Currency,Website,,TRUE,Title,Default Title,,,,,,,,19,0,,1,deny,manual,19,,FALSE,TRUE,,,,,,,1,Portfolio Website,FALSE,,"Psychology Portfolio Website – a polished, customizable digital resume and portfolio sample website/template designed specifically for psychology majors and recent graduates, helping you showcase your skills, experience, and projects online so you can stand out for internships, grad school applications, and entry‑level roles.",html-website,,lb,,,active
blank-portfolio-website,Blank Portfolio Website,,Irene's Webworks,Software > Digital Goods & Currency,Website,,TRUE,Title,Default Title,,,,,,,,999,0,,1,deny,manual,25,,FALSE,TRUE,,,,,,,1,Portfolio Website,FALSE,,"Psychology Portfolio Website – a polished, customizable digital resume and portfolio sample website/template designed specifically for psychology majors and recent graduates, helping you showcase your skills, experience, and projects online so you can stand out for internships, grad school applications, and entry‑level roles.",html-website,,lb,,,active
basic done-for-you editing service,Basic Done-For-You Editing Service,,Irene's Webworks,Software > Digital Goods & Currency,Website,,TRUE,Title,Default Title,,,,,,,,1000,0,,1,deny,manual,20,,FALSE,TRUE,,,,,,,1,Portfolio Website,FALSE,,"Psychology Portfolio Website – a polished, customizable digital resume and portfolio sample website/template designed specifically for psychology majors and recent graduates, helping you showcase your skills, experience, and projects online so you can stand out for internships, grad school applications, and entry‑level roles.",html-website,,lb,,,active
advanced-done-for-you editing service,Advanced Done-For-You Editing Service,,Irene's Webworks,Software > Digital Goods & Currency,Website,,TRUE,Title,Default Title,,,,,,,,1001,0,,1,deny,manual,45,,FALSE,TRUE,,,,,,,1,Portfolio Website,FALSE,,"Psychology Portfolio Website – a polished, customizable digital resume and portfolio sample website/template designed specifically for psychology majors and recent graduates, helping you showcase your skills, experience, and projects online so you can stand out for internships, grad school applications, and entry‑level roles.",html-website,,lb,,,active
done-for-you website hosting,Done-For-You Website Hosting,,Irene's Webworks,Software > Digital Goods & Currency,Website,,TRUE,Title,Default Title,,,,,,,,1002,0,,1,deny,manual,25,,FALSE,TRUE,,,,,,,1,Portfolio Website,FALSE,,"Psychology Portfolio Website – a polished, customizable digital resume and portfolio sample website/template designed specifically for psychology majors and recent graduates, helping you showcase your skills, experience, and projects online so you can stand out for internships, grad school applications, and entry‑level roles.",html-website,,lb,,,active
bring-your-own template,Bring-Your-Own Template,,Irene's Webworks,Software > Digital Goods & Currency,Website,,TRUE,Title,Default Title,,,,,,,,1003,0,,1,deny,manual,67,,FALSE,TRUE,,,,,,,1,Portfolio Website,FALSE,,"Psychology Portfolio Website – a polished, customizable digital resume and portfolio sample website/template designed specifically for psychology majors and recent graduates, helping you showcase your skills, experience, and projects online so you can stand out for internships, grad school applications, and entry‑level roles.",html-website,,lb,,,active
blank-done-for-you-private,Blank Done-For-You Custom Website (Private),,Irene's Webworks,Software > Digital Goods & Currency,Website,,TRUE,Title,Default Title,,,,,,,,1004,0,,1,deny,manual,85,,FALSE,TRUE,,,,,,,1,Portfolio Website,FALSE,,"Psychology Portfolio Website – a polished, customizable digital resume and portfolio sample website/template designed specifically for psychology majors and recent graduates, helping you showcase your skills, experience, and projects online so you can stand out for internships, grad school applications, and entry‑level roles.",html-website,,lb,,,active